"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"TP32,TP13,TP24,TP31,TP36,TP21,TP19,TP25,TP17,TP26,TP8,TP4,TP16,TP41,TP28,TP2,TP30,TP10,TP23,TP39,TP37,TP6,TP3,TP15,TP27,TP20,TP18,TP12,TP7,TP42,TP9,TP14,TP38,TP40,TP29,TP34,TP5,TP33,TP22,TP1,TP11,TP35";"Test_Point_SMD_0.8mm_Designator";42;"Test_Point_SMD_0.8mm_Designator";;;
2;"MX15,MX38,MX35,MX39,MX13,MX53,MX44,MX52,MX1,MX12,MX61,MX43,MX20,MX46,MX24,MX40,MX59,MX18,MX6,MX57,MX49,MX3,MX19,MX14,MX55,MX2,MX21,MX48,MX17,MX9,MX33,MX37,MX7,MX23,MX27,MX34,MX47,MX51,MX36,MX10,MX29,MX41,MX22,MX5,MX54,MX26,MX32,MX45,MX58,MX42,MX30,MX11,MX60,MX28,MX8,MX4,MX50,MX56,MX16,MX25,MX31";"Choc_V1V2";61;"MX_SW_solder";;;
3;"C17,C25,C21,C19,C14,C18,C23";"0603C";7;"100n";;;
4;"X1";"CRYSTAL_3225__4_PAD";1;"ABM8-40.000MHZ-12-B1U-T";;;
5;"K1";"HC-1.25-6PWT";1;" HC-1.25-6PWT";;;
6;"S1,S4,S3,S2";"STAB_choc_2u";4;"MX_stab";;;
7;"R10,R9,R5";"0603R";3;"10k";;;
8;"SW1";"YTSA007A0151803B";1;"YTSA007A0151803B";;;
9;"C20,C16";"0603C";2;"1u";;;
10;"L1";"0402L";1;"LQG15HS2N0C02D";;;
11;"S5";"STAB_choc_6.25u";1;"MX_stab";;;
12;"C22";"0603C";1;"10n";;;
13;"R8,R6";"0603R";2;"DNP";;;
14;"C13,C12";"0603C";2;"12p";;;
15;"C15,C24";"1206C";2;"10u";;;
16;"U7";"SOT-23-5";1;"TPS3840PL27DBVR";;;
17;"K2";"HEADER_MALE_6X1";1;"CONNECT PROGRAMMER";;;
18;"C11,C26";"0402C";2;"TBD";;;
19;"U6";"ESP32-S3FH4R2";1;"ESP32-S3FH4R2";;;
20;"R7";"0603R";1;"499R";;;
21;"C1,C8,C3,C10,C5";"C_0603_1608Metric";5;"104";;;
22;"C6,C2,C4,C9,C7";"C_0805_2012Metric";5;"106";;;
23;"U2,U3,U5,U4,U1";"QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm";5;"MCP23017_ML";;;
24;"R1,R4,R2,R3";"R_0603_1608Metric";4;"10k";;;
